index,Title,imdbID,Writer,Plot,Awards,Metascore,Type
91,The Great Escape,tt0057115,"Paul Brickhill (book), James Clavell (screenplay), W.R. Burnett (screenplay)",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,Nominated for 1 Oscar. Another 2 wins & 9 nominations.,87,movie
92,Cleopatra,tt0056937,"Joseph L. Mankiewicz (screenplay), Ranald MacDougall (screenplay), Sidney Buchman (screenplay), Plutarch (histories), Suetonius (histories), Appian (histories), Carlo Maria Franzero (book)",Queen Cleopatra of Egypt experiences both triumph and tragedy as she attempts to resist the imperial ambitions of Rome.,Won 4 Oscars. Another 2 wins & 13 nominations.,60,movie
93,A Hard Day's Night,tt0058182,Alun Owen (original screenplay),"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Paul McCartney's mischievous grandfather in check while preparing for a live television performance.",Nominated for 2 Oscars. Another 2 wins & 5 nominations.,96,movie
94,Nothing But a Man,tt0058414,"Michael Roemer, Robert M. Young",A proud black man and his school-teacher wife face discriminatory challenges in 1960s America.,4 wins & 1 nomination.,87,movie
95,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012,"Stanley Kubrick (screenplay), Terry Southern (screenplay), Peter George (screenplay), Peter George (based on the book: ""Red Alert"" by)",An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,Nominated for 4 Oscars. Another 13 wins & 7 nominations.,97,movie
96,A Fistful of Dollars,tt0058461,"Adriano Bolzoni (story), Mark Lowell (dialogue), Víctor Andrés Catena (story), Sergio Leone (story), Víctor Andrés Catena (screenplay), Jaime Comas Gil (screenplay), Sergio Leone (screenplay)","A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",1 win & 2 nominations.,65,movie
97,Goldfinger,tt0058150,"Richard Maibaum (screenplay), Paul Dehn (screenplay)","While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",Won 1 Oscar. Another 4 wins & 6 nominations.,87,movie
98,The Train,tt0059825,"Franklin Coen (screen story), Frank Davis (screen story), Franklin Coen (screenplay), Frank Davis (screenplay), Rose Valland (based upon ""Le Front De L'Art"" by)","In 1944, a German colonel loads a train with French art treasures to send to Germany. The Resistance must stop it without damaging the cargo.",Nominated for 1 Oscar. Another 1 win & 2 nominations.,N/A,movie
99,Mary Poppins,tt0058331,"Bill Walsh (screenplay), Don DaGradi (screenplay), P.L. Travers (based on: The ""Mary Poppins"" books by)","In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",Won 5 Oscars. Another 15 wins & 17 nominations.,88,movie
100,My Fair Lady,tt0058385,"Alan Jay Lerner (book), George Bernard Shaw (from a play by), Alan Jay Lerner (screenplay)",A snobbish phonetics professor agrees to a wager that he can make a flower girl presentable in high society.,Won 8 Oscars. Another 16 wins & 13 nominations.,95,movie
101,The Fall of the Roman Empire,tt0058085,"Ben Barzman (screenplay), Basilio Franchina (screenplay), Philip Yordan (screenplay)","The death of Marcus Aurelius leads to a succession crisis, in which the deceased emperor's son, Commodus, demonstrates that he is unwilling to let anything undermine his claim to the Roman Empire.",Nominated for 1 Oscar. Another 1 win & 1 nomination.,N/A,movie
102,The Party's Over,tt0060816,"Marc Behm (story), Marc Behm (screenplay)","An American businessman visits London and is horrified to discover his nubile teenage daughter has become involved with a gang of thuggish ""beatniks"". Her involvement leads to wild parties, sex, death and necrophilia.",N/A,N/A,movie
103,Pierrot le Fou,tt0059592,Jean-Luc Godard,"Pierrot escapes his boring society and travels from Paris to the Mediterranean Sea with Marianne, a girl chased by hit-men from Algeria. They lead an unorthodox life, always on the run.",Nominated for 1 BAFTA Film Award. Another 1 win & 1 nomination.,N/A,movie
104,Thunderball,tt0059800,"Richard Maibaum (screenplay), John Hopkins (screenplay), Jack Whittingham (original screenplay), Kevin McClory (original story), Jack Whittingham (original story), Ian Fleming (original story)",James Bond heads to the Bahamas to recover two nuclear warheads stolen by S.P.E.C.T.R.E. Agent Emilio Largo in an international extortion scheme.,Won 1 Oscar. Another 4 wins & 5 nominations.,64,movie
105,Major Dundee,tt0059418,"Harry Julian Fink (story), Harry Julian Fink (screenplay), Oscar Saul (screenplay), Sam Peckinpah (screenplay)","In 1864, due to frequent Apache raids from Mexico into the U.S., a Union officer decides to illegally cross the border and destroy the Apache, using a mixed army of Union troops, Confederate POWs, civilian mercenaries, and scouts.",N/A,62,movie
106,The Sound of Music,tt0059742,"George Hurdalek (with the partial use of ideas by), Howard Lindsay (from the stage musical book by), Russel Crouse (from the stage musical book by), Ernest Lehman (screenplay)",A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,Won 5 Oscars. Another 12 wins & 13 nominations.,63,movie
107,Doctor Zhivago,tt0059113,"Boris Pasternak (novel), Robert Bolt (screenplay)","The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",Won 5 Oscars. Another 16 wins & 13 nominations.,69,movie
108,The Greatest Story Ever Told,tt0059245,"Fulton Oursler (book), Henry Denker (source writings), James Lee Barrett (screenplay), George Stevens (screenplay)","An all-star, large scale epic film that chronicles the life and ministry of Jesus Christ.",Nominated for 5 Oscars. Another 1 win & 1 nomination.,N/A,movie
109,A Funny Thing Happened on the Way to the Forum,tt0060438,"Melvin Frank (screenplay), Michael Pertwee (screenplay), Burt Shevelove (book), Larry Gelbart (book), Titus Maccius Plautus (based on the play by)",A wily slave must unite a virgin courtesan and his young smitten master to earn his freedom.,Won 1 Oscar. Another 1 nomination.,N/A,movie
110,Batman: The Movie,tt0060153,"Lorenzo Semple Jr., Bob Kane (based upon the characters created by)",The Dynamic Duo faces four supervillains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.,1 win.,71,movie
111,A Man for All Seasons,tt0060665,"Robert Bolt (from the play by), Robert Bolt (screenplay)","The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",Won 6 Oscars. Another 27 wins & 8 nominations.,N/A,movie
112,Harper,tt0060490,"William Goldman (screenplay), Ross Macdonald (novel)","Lew Harper, a cool private investigator, is hired by a wealthy California matron to locate her kidnapped husband.",1 win & 3 nominations.,51,movie
113,Torn Curtain,tt0061107,Brian Moore,An American scientist publicly defects to East Germany as part of a cloak and dagger mission to find the solution for a formula resin before planning an escape back to the West.,2 nominations.,55,movie
114,The Torture Chamber of Dr. Sadism,tt0062235,"Manfred R. Köhler (screenplay), Edgar Allan Poe (story ""The Pit and the Pendulum"")","In the Olden Tymes, Count Regula is drawn and quartered for killing twelve virgins in his dungeon torture chamber. Thirty-five years later, he comes back to seek revenge on the daughter of ...",N/A,N/A,movie
115,Point Blank,tt0062138,"Alexander Jacobs (screenplay), David Newhouse (screenplay), Rafe Newhouse (screenplay), Donald E. Westlake (novel)","After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the money that was stolen from him.",1 win.,N/A,movie
116,You Only Live Twice,tt0062512,"Harold Jack Bloom (additional story material), Roald Dahl (screenplay)",Agent 007 and the Japanese Secret Service ninja force must find and stop the true culprit of a series of spacejackings before nuclear war is provoked.,Nominated for 1 BAFTA Film Award. Another 2 wins & 2 nominations.,61,movie
117,In Cold Blood,tt0061809,"Truman Capote (based on the book by), Richard Brooks (written for the screen by)","After a botched robbery results in the brutal murder of a rural family, two drifters elude police, in the end coming to terms with their own mortality and the repercussions of their vile atrocity.",Nominated for 4 Oscars. Another 4 wins & 5 nominations.,89,movie
118,Night of the Living Dead,tt0063350,"John A. Russo (screenplay), George A. Romero (screenplay)","A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a bloodthirsty, flesh-eating breed of monsters who are ravaging the East Coast of the United States.",2 wins & 1 nomination.,89,movie
119,Barbarella,tt0062711,"Jean-Claude Forest (from the best seller ""Barbarella"" by), Terry Southern (screenplay), Roger Vadim (screenplay), Claude Brulé (in collaboration with), Vittorio Bonicelli (in collaboration with), Clement Biddle Wood (in collaboration with), Brian Degas (in collaboration with), Tudor Gates (in collaboration with), Jean-Claude Forest (in collaboration with)","Barbarella, an astronaut from the 41st century, sets out to find and stop the evil scientist Durand Durand, whose Positronic Ray threatens to bring evil back into the galaxy.",1 nomination.,51,movie
120,Charly,tt0062794,"Daniel Keyes (novel), Stirling Silliphant (screenplay)",An intellectually disabled man undergoes an experiment that gives him the intelligence of a genius.,Won 1 Oscar. Another 3 wins & 6 nominations.,50,movie
121,Shalako,tt0063592,"Louis L'Amour (novel), James Griffith (screenplay), Hal Hopper (screenplay), Scot Finch (screenplay), Clarke Reynolds (screen story)","In 1880 New Mexico, a group of European hunters runs afoul of the Apache but is aided by an ex-cavalryman turned guide.",N/A,N/A,movie
122,Hang 'Em High,tt0061747,"Leonard Freeman, Mel Goldberg","When an innocent man barely survives a lynching, he returns as a lawman determined to bring the vigilantes to justice.",N/A,62,movie
123,Rosemary's Baby,tt0063522,"Ira Levin (novel), Roman Polanski (screenplay)","A young couple moves in to an apartment only to be surrounded by peculiar neighbors and occurrences. When the wife becomes mysteriously pregnant, paranoia over the safety of her unborn child begins to control her life.",Won 1 Oscar. Another 9 wins & 12 nominations.,96,movie
124,Once Upon a Time in the West,tt0064116,"Sergio Donati (screenplay by), Sergio Leone (screenplay by), Dario Argento (from a story by), Bernardo Bertolucci (from a story by), Sergio Leone (from a story by)",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,4 wins & 5 nominations.,80,movie
125,Oliver!,tt0063385,"Lionel Bart (book), Vernon Harris (screenplay), Charles Dickens (freely adapted from ""Oliver Twist"" by)","After being sold to a mortician, young orphan Oliver Twist runs away and meets a group of boys trained to be pickpockets by an elderly mentor.",Won 5 Oscars. Another 7 wins & 25 nominations.,N/A,movie
126,2001: A Space Odyssey,tt0062622,"Stanley Kubrick (screenplay), Arthur C. Clarke (screenplay)","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",Won 1 Oscar. Another 13 wins & 10 nominations.,82,movie
127,The Stewardesses,tt0168192,Al Silliman Jr.,"A single eventful night in the lives of a crew of Los Angeles-based, trans-Pacific stewardesses, as they experiment with drugs and engage in various sexual encounters.",N/A,N/A,movie
128,Machine Gun McCain,tt0065895,"Mino Roli (story), Ovid Demaris (novel), Mino Roli (screenplay), Israel Horovitz (dialogue)",A paroled armed robber and his son plan a Las Vegas casino heist without knowing that the casino is bitterly contested by the West Coast and East Coast mobs.,1 win & 1 nomination.,N/A,movie
129,Butch Cassidy and the Sundance Kid,tt0064115,William Goldman,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",Won 4 Oscars. Another 16 wins & 14 nominations.,66,movie
130,Midnight Cowboy,tt0064665,"Waldo Salt (screenplay), James Leo Herlihy (based on the novel by)","A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",Won 3 Oscars. Another 24 wins & 15 nominations.,79,movie
131,Mississippi Mermaid,tt0064990,"Cornell Woolrich (based on the novel by), François Truffaut (adaptation)",A wealthy plantation owner is captivated by a mysterious woman with a shady past.,N/A,N/A,movie
132,Topaz,tt0065112,"Leon Uris (from the novel by), Samuel A. Taylor (screenplay)","A French Intelligence Agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missile Crisis, and then back to France to break up an international Russian spy ring.",3 wins & 1 nomination.,N/A,movie
133,On Her Majesty's Secret Service,tt0064757,"Simon Raven (additional dialogue), Richard Maibaum (screenplay)",James Bond woos a mob boss' daughter and goes undercover to uncover the true reason for Blofeld's allergy research in the Swiss Alps that involves beautiful women from around the world.,Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,61,movie
134,The Wild Bunch,tt0065214,"Walon Green (screenplay), Sam Peckinpah (screenplay), Walon Green (story), Roy N. Sickner (story)","An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",Nominated for 2 Oscars. Another 5 wins & 5 nominations.,95,movie
135,Sweet Charity,tt0065054,"Neil Simon (from the New York stage production book by), Federico Fellini (based upon the screenplay by: ""Nights of Cabiria""), Tullio Pinelli (based upon the screenplay by: ""Nights of Cabiria""), Ennio Flaiano (based upon the screenplay by: ""Nights of Cabiria""), Peter Stone (screenplay)","Taxi dancer Charity continues to have Faith in the human race despite apparently endless disappointments at its hands, and Hope that she will finally meet the nice young man to romance her ...",Nominated for 3 Oscars. Another 3 nominations.,53,movie
